antecedentes,consecuentes,soporte antecedente,soporte consecuente,soporte,confianza,elevacion,representatividad,apalancamiento,conviccion,metrica_zhang,jaccard,certeza,kulczynski,cluster
frozenset({'fresas'}),frozenset({'Banana'}),0.0403,0.1412,0.0093,0.2307692307692307,1.634342994116365,1.0,0.0036096399999999,1.11644,0.4044319405369733,0.0540069686411149,0.1042957973558811,0.1483166267160601,0
frozenset({'Cebollas Amarillas'}),frozenset({'Banana'}),0.0235,0.1412,0.0057,0.2425531914893617,1.717798806581882,1.0,0.0023818,1.133808988764045,0.4279156673044619,0.0358490566037735,0.11801722343894,0.1414607317220179,0
frozenset({'Limón grande'}),frozenset({'limas'}),0.0466,0.0437,0.0077,0.1652360515021459,3.7811453432985336,1.0,0.00566358,1.1455933161953729,0.7714808790957312,0.0932203389830508,0.1270898792242454,0.1707187122499288,0
frozenset({'limas'}),frozenset({'Limón grande'}),0.0437,0.0466,0.0077,0.1762013729977116,3.781145343298533,1.0,0.00566358,1.1573216666666666,0.7691413469934854,0.0932203389830508,0.1359359901381494,0.1707187122499288,0
frozenset({'Limón grande'}),frozenset({'Aguacate Orgánico'}),0.0466,0.0552,0.008,0.1716738197424892,3.1100329663494435,1.0,0.00542768,1.1406134715025906,0.7116215649255297,0.0852878464818763,0.1232788100576728,0.1583006779871866,0
frozenset({'Limón grande'}),frozenset({'Espinacas tiernas orgánicas'}),0.0466,0.0658,0.0073,0.1566523605150214,2.380734962234369,1.0,0.00423372,1.107728244274809,0.6083088355733337,0.0694576593720266,0.0972515098640777,0.1337973048775715,0
frozenset({'Cilantro Orgánico'}),frozenset({'limas'}),0.0227,0.0437,0.0074,0.3259911894273127,7.459752618473976,1.0,0.00640801,1.418824183006536,0.8860608792564181,0.1254237288135593,0.295191037778221,0.247663786933336,0
frozenset({'limas'}),frozenset({'Cilantro Orgánico'}),0.0437,0.0227,0.0074,0.1693363844393592,7.459752618473977,1.0,0.00640801,1.1765292011019284,0.9055184537250834,0.1254237288135593,0.1500423456864415,0.247663786933336,0
frozenset({'Calabacín Orgánico'}),frozenset({'Espinacas tiernas orgánicas'}),0.0333,0.0658,0.0055,0.1651651651651651,2.510108893087616,1.0,0.0033088599999999,1.1190237410071942,0.6223346530370425,0.0587606837606837,0.1063639104743792,0.1243758956524913,0
frozenset({'Arándanos Orgánicos'}),frozenset({'Fresas Orgánicas'}),0.0303,0.0717,0.0073,0.2409240924092409,3.3601686528485484,1.0,0.00512749,1.222934347826087,0.7243434984128688,0.0770855332629355,0.1822946164055164,0.1713686012952759,0
frozenset({'Pepino Orgánico'}),frozenset({'Aguacate Hass Orgánico'}),0.0223,0.0588,0.0051,0.2286995515695067,3.8894481559439926,1.0,0.00378876,1.2202767441860465,0.7598385165664916,0.0671052631578947,0.1805137606985834,0.1577171227235289,0
frozenset({'Ajo Orgánico'}),frozenset({'Aguacate Hass Orgánico'}),0.0344,0.0588,0.0055,0.1598837209302325,2.719110900174023,1.0,0.0034772799999999,1.120321107266436,0.6547563455599908,0.0627137970353477,0.1073987685191591,0.1267105679481094,0
frozenset({'Ajo Orgánico'}),frozenset({'Cebolla Amarilla Orgánica'}),0.0344,0.0329,0.0074,0.2151162790697674,6.538488725524847,1.0,0.00626824,1.2321570370370372,0.8772363913208984,0.1235392320534223,0.1884151370796892,0.2200201456139111,0
frozenset({'Cebolla Amarilla Orgánica'}),frozenset({'Ajo Orgánico'}),0.0329,0.0344,0.0074,0.2249240121580547,6.538488725524847,1.0,0.00626824,1.2458133333333332,0.8758757723704472,0.1235392320534223,0.1973115287469498,0.2200201456139111,0
frozenset({'Limón Orgánico'}),frozenset({'Aguacate Hass Orgánico'}),0.029,0.0588,0.0068,0.2344827586206896,3.9878020173586672,1.0,0.0050948,1.2294954954954955,0.7716120433755377,0.0839506172839506,0.1866582645778682,0.1750645085620455,0
frozenset({'Aguacate Hass Orgánico'}),frozenset({'Fresas Orgánicas'}),0.0588,0.0717,0.01,0.1700680272108843,2.3719390127041056,1.0,0.00578404,1.1185254098360655,0.6145388865278368,0.0829875518672199,0.1059657731454103,0.1547690205789428,0
frozenset({'Cebolla Amarilla Orgánica'}),frozenset({'Aguacate Hass Orgánico'}),0.0329,0.0588,0.0054,0.1641337386018237,2.7913901122759137,1.0,0.00346548,1.1260174545454549,0.6635875871735659,0.0625724217844727,0.1119142994069525,0.1279852366478506,0
frozenset({'Frambuesas Orgánicas'}),frozenset({'Fresas Orgánicas'}),0.0406,0.0717,0.0072,0.1773399014778325,2.473359853247316,1.0,0.0042889799999999,1.128412574850299,0.6209002154124105,0.0685061845861084,0.1137993121596817,0.1388791557598367,0
frozenset({'Leche entera orgánica'}),frozenset({'Fresas Orgánicas'}),0.0373,0.0717,0.006,0.1608579088471849,2.243485479040237,1.0,0.00332559,1.1062488817891374,0.57574010595201,0.058252427184466,0.0960442840107562,0.1222699586076929,0
frozenset({'Pan 100% Integral'}),frozenset({'Banana'}),0.0209,0.1747,0.005,0.2392344497607655,1.3694015441371814,1.0,0.00134877,1.0848283018867926,0.2755122050863038,0.0262329485834207,0.0781951408709143,0.1339274710166163,1
frozenset({'Manzana Honeycrisp Orgánica'}),frozenset({'Bolsa de Plátanos Orgánicos'}),0.0342,0.1397,0.0115,0.3362573099415205,2.406995776245673,1.0,0.00672226,1.2961348017621146,0.6052436817416514,0.0708128078817734,0.2284753108700691,0.2092882827445612,1
frozenset({'Manzana Honeycrisp Orgánica'}),frozenset({'Banana'}),0.0342,0.1747,0.0086,0.2514619883040935,1.4393931786153038,1.0,0.00262526,1.10254921875,0.3160724691423425,0.0429355966050923,0.093011012121766,0.1503446175063684,1
frozenset({'Manzana Honeycrisp Orgánica'}),frozenset({'Aguacate Hass Orgánico'}),0.0342,0.086,0.006,0.175438596491228,2.039983680130559,1.0,0.0030588,1.108468085106383,0.5278525574653138,0.052539404553415,0.0978540443011247,0.1226030191758466,1
frozenset({'Manzana Honeycrisp Orgánica'}),frozenset({'Frambuesas Orgánicas'}),0.0342,0.058,0.0054,0.1578947368421052,2.7223230490018144,1.0,0.0034164,1.118625,0.6550700628149375,0.0622119815668202,0.1060453681975639,0.1254990925589836,1
frozenset({'Manzana Honeycrisp Orgánica'}),frozenset({'Fresas Orgánicas'}),0.0342,0.1004,0.0063,0.1842105263157894,1.8347661983644368,1.0,0.00286632,1.1027354838709678,0.471082448303405,0.049103663289166,0.0931642133345814,0.1234797651499266,1
frozenset({'Espárragos'}),frozenset({'Banana'}),0.0262,0.1747,0.0065,0.248091603053435,1.4201007616109622,1.0,0.0019228599999999,1.0976071065989847,0.3037837496247846,0.0334362139917695,0.0889271816956683,0.1426491215038211,1
frozenset({'Espárragos'}),frozenset({'Espinacas tiernas orgánicas'}),0.0262,0.0867,0.0052,0.198473282442748,2.289195875925583,1.0,0.0029284599999999,1.1394504761904762,0.5783172978182219,0.0482822655524605,0.1223839728925304,0.1292251071959991,1
frozenset({'Zanahorias'}),frozenset({'Bolsa de Plátanos Orgánicos'}),0.0248,0.1397,0.0052,0.2096774193548387,1.5009120927332766,1.0,0.00173544,1.0885428571428573,0.3422256578532214,0.0326428123038292,0.0813407176041366,0.1234500196273119,1
frozenset({'Coliflor Fresca'}),frozenset({'Bolsa de Plátanos Orgánicos'}),0.0277,0.1397,0.0068,0.2454873646209386,1.7572467045163824,1.0,0.00293031,1.1402062200956935,0.4432047116902917,0.0423412204234122,0.1229656685120755,0.1470815491680212,1
frozenset({'Mitad y mitad'}),frozenset({'Bolsa de Plátanos Orgánicos'}),0.0283,0.1397,0.005,0.1766784452296819,1.2646989637056694,1.0,0.00104649,1.0449137339055796,0.2153936400123496,0.0306748466257668,0.0429831979887039,0.1062347129512762,1
frozenset({'limas'}),frozenset({'Bolsa de Plátanos Orgánicos'}),0.0513,0.1397,0.0082,0.1598440545808967,1.1441950936356242,1.0,0.00103339,1.0239765661252902,0.1328377471610703,0.0448577680525164,0.023415151204111,0.1092706314422021,1
frozenset({'Zanahorias pequeñas orgánicas'}),frozenset({'Bolsa de Plátanos Orgánicos'}),0.0235,0.1397,0.0053,0.225531914893617,1.6144016814145814,1.0,0.00201705,1.1108269230769232,0.3897342260093326,0.0335655478150728,0.0997697488011356,0.1317351772034298,1
frozenset({'Espinacas tiernas orgánicas'}),frozenset({'Bolsa de Plátanos Orgánicos'}),0.0867,0.1397,0.0189,0.2179930795847751,1.5604372196476386,1.0,0.00678801,1.1001181415929204,0.3932486239504744,0.0910843373493976,0.0910067181038882,0.1766414932641126,1
frozenset({'Arándanos Orgánicos'}),frozenset({'Bolsa de Plátanos Orgánicos'}),0.0329,0.1397,0.0073,0.2218844984802431,1.5882927593431866,1.0,0.00270387,1.105619921875,0.382993641489951,0.044162129461585,0.0955300458912509,0.137069665131317,1
frozenset({'Cilantro Orgánico'}),frozenset({'Bolsa de Plátanos Orgánicos'}),0.0252,0.1397,0.0061,0.242063492063492,1.7327379532103944,1.0,0.00257956,1.1350554973821991,0.4338107186341714,0.0384130982367758,0.1189858096751041,0.142864244242197,1
frozenset({'Pepino Orgánico'}),frozenset({'Bolsa de Plátanos Orgánicos'}),0.0307,0.1397,0.0093,0.3029315960912052,2.168443780180424,1.0,0.0050112099999999,1.234168691588785,0.5559061022864299,0.0577281191806331,0.1897379938291354,0.184751410071372,1
"frozenset({""Organic D'Anjou Pears""})",frozenset({'Bolsa de Plátanos Orgánicos'}),0.0186,0.1397,0.0051,0.2741935483870968,1.9627311981896696,1.0,0.00250158,1.1853022222222225,0.4998022033349717,0.0332898172323759,0.1563333120854316,0.1553501743367123,1
frozenset({'Manzanas Gala Ecológicas'}),frozenset({'Bolsa de Plátanos Orgánicos'}),0.0268,0.1397,0.0072,0.2686567164179104,1.9230974689900533,1.0,0.00345604,1.1763285714285716,0.4932239576197653,0.0451977401129943,0.1498973804694995,0.1600978642934219,1
frozenset({'Ajo Orgánico'}),frozenset({'Bolsa de Plátanos Orgánicos'}),0.0455,0.1397,0.0085,0.1868131868131868,1.337245431733621,1.0,0.00214365,1.0579364864864866,0.264215943056112,0.0481041312959819,0.0547636717577436,0.1238289269785333,1
frozenset({'Batata Granate Orgánica (Ñame)'}),frozenset({'Bolsa de Plátanos Orgánicos'}),0.0216,0.1397,0.0054,0.25,1.789549033643522,1.0,0.00238248,1.147066666666667,0.4509403107113655,0.0346375881975625,0.1282110891549459,0.14432712956335,1
frozenset({'Manzana Granny Smith Orgánica'}),frozenset({'Bolsa de Plátanos Orgánicos'}),0.0243,0.1397,0.0058,0.2386831275720164,1.708540641174062,1.0,0.00240529,1.1300156756756758,0.4250334861266712,0.0366624525916561,0.115056523970727,0.140100332576273,1
frozenset({'Tomates Uva Orgánicos'}),frozenset({'Bolsa de Plátanos Orgánicos'}),0.0303,0.1397,0.007,0.231023102310231,1.6537086779544097,1.0,0.00276709,1.118759227467811,0.4076503778782835,0.0429447852760736,0.1061526238640369,0.1405652376261248,1
frozenset({'Bolsa de Plátanos Orgánicos'}),frozenset({'Aguacate Hass Orgánico'}),0.1397,0.086,0.0261,0.1868289191123837,2.1724292920044617,1.0,0.0140858,1.1239947183098593,0.6273228219862714,0.1307615230460922,0.1103161040616889,0.2451586456027035,1
frozenset({'Aguacate Hass Orgánico'}),frozenset({'Bolsa de Plátanos Orgánicos'}),0.086,0.1397,0.0261,0.3034883720930233,2.172429292004462,1.0,0.0140858,1.2351552587646075,0.5904658903225267,0.1307615230460922,0.190385182021415,0.2451586456027035,1
frozenset({'Kiwi orgánico'}),frozenset({'Bolsa de Plátanos Orgánicos'}),0.0226,0.1397,0.0062,0.2743362831858407,1.963752921874307,1.0,0.00304278,1.1855353658536587,0.5021188538386899,0.039718129404228,0.1564992249050804,0.1593585496101,1
frozenset({'Col rizada Lacinato (Dinosaurio) Orgánica'}),frozenset({'Bolsa de Plátanos Orgánicos'}),0.0199,0.1397,0.0055,0.2763819095477386,1.978395916590828,1.0,0.0027199699999999,1.1888868055555557,0.5045811651872257,0.035691109669046,0.1588770307424603,0.157875994143948,1
frozenset({'Manzana Fuji Orgánica Grande Extra Fancy'}),frozenset({'Bolsa de Plátanos Orgánicos'}),0.0296,0.1397,0.0082,0.277027027027027,1.983013794037416,1.0,0.00406488,1.189947663551402,0.5108378742484869,0.0509000620732464,0.1596269057619749,0.1678621176652672,1
frozenset({'Limón Orgánico'}),frozenset({'Bolsa de Plátanos Orgánicos'}),0.0329,0.1397,0.0075,0.2279635258358662,1.6318076294621782,1.0,0.00290387,1.1143255905511813,0.4003543239237584,0.0454270139309509,0.1025962174077255,0.1408249984225859,1
frozenset({'Leche Orgánica'}),frozenset({'Bolsa de Plátanos Orgánicos'}),0.0119,0.1397,0.0051,0.4285714285714285,3.0677983433888945,1.0,0.00343757,1.5055250000000002,0.6821509293931114,0.0348122866894198,0.3357798774513873,0.2325391144288782,1
frozenset({'Naranja Ombligo Orgánica'}),frozenset({'Bolsa de Plátanos Orgánicos'}),0.0178,0.1397,0.0052,0.2921348314606741,2.0911584213362504,1.0,0.00271334,1.2153444444444446,0.5312524474100528,0.0341431385423506,0.1771879942586006,0.1646787256802297,1
frozenset({'Frambuesas Orgánicas'}),frozenset({'Bolsa de Plátanos Orgánicos'}),0.058,0.1397,0.018,0.3103448275862068,2.2215091452126474,1.0,0.0098973999999999,1.247435,0.5837107808445388,0.1001669449081802,0.198355024510295,0.2195961790042702,1
frozenset({'Pimiento Rojo Orgánico'}),frozenset({'Bolsa de Plátanos Orgánicos'}),0.0247,0.1397,0.0073,0.2955465587044534,2.1155802341048924,1.0,0.00384941,1.2212304597701151,0.5406710123614933,0.0464672183322724,0.1811537355625403,0.1739006952434221,1
frozenset({'Apio en manojo pequeño ecológico'}),frozenset({'Bolsa de Plátanos Orgánicos'}),0.0256,0.1397,0.0059,0.2304687499999999,1.6497405153901217,1.0,0.00232368,1.117953299492386,0.4041913667863404,0.0370138017565871,0.1055082529350226,0.1363510535969935,1
frozenset({'Bolsa de Plátanos Orgánicos'}),frozenset({'Fresas Orgánicas'}),0.1397,0.1004,0.023,0.164638511095204,1.6398258077211556,1.0,0.00897412,1.076899057412168,0.4535384522082792,0.1059419622293873,0.0714078602659004,0.1968610882169247,1
frozenset({'Fresas Orgánicas'}),frozenset({'Bolsa de Plátanos Orgánicos'}),0.1004,0.1397,0.023,0.2290836653386454,1.6398258077211556,1.0,0.00897412,1.1159447028423777,0.4337251338759256,0.1059419622293873,0.1038982510038886,0.1968610882169247,1
frozenset({'Racimo de tomate orgánico'}),frozenset({'Bolsa de Plátanos Orgánicos'}),0.0225,0.1397,0.0051,0.2266666666666666,1.6225244571701267,1.0,0.00195675,1.1124568965517243,0.392507898299985,0.0324633991088478,0.1010887674842109,0.1315867334764972,1
frozenset({'Leche De Almendras Sin Azúcar Ecológica'}),frozenset({'Bolsa de Plátanos Orgánicos'}),0.024,0.1397,0.0056,0.2333333333333333,1.670245764733954,1.0,0.0022472,1.1221304347826089,0.4111533957845433,0.0354206198608475,0.108838002247278,0.1367096158434741,1
frozenset({'Leche entera orgánica'}),frozenset({'Bolsa de Plátanos Orgánicos'}),0.0571,0.1397,0.0109,0.190893169877408,1.366450750733057,1.0,0.00292313,1.0632712121212122,0.2844172915687598,0.0586336740182894,0.0595061837468418,0.1344587538721328,1
frozenset({'Queso En Hebras Ecológico'}),frozenset({'Bolsa de Plátanos Orgánicos'}),0.0263,0.1397,0.0072,0.2737642585551331,1.9596582573738948,1.0,0.00352589,1.1846015706806283,0.5029341115789714,0.0453400503778337,0.1558343119320389,0.1626516353620332,1
frozenset({'Cebolla Amarilla Orgánica'}),frozenset({'Bolsa de Plátanos Orgánicos'}),0.044,0.1397,0.0085,0.1931818181818182,1.3828333441790852,1.0,0.0023532,1.066287323943662,0.2895889736647799,0.0485159817351598,0.0621664746969873,0.1270132426628489,1
frozenset({'Calabacín Orgánico'}),frozenset({'Bolsa de Plátanos Orgánicos'}),0.0434,0.1397,0.0098,0.2258064516129032,1.6163668690973747,1.0,0.0037370199999999,1.1112208333333335,0.3986290732056987,0.0565493364108482,0.1000888662244603,0.1479783868658646,1
frozenset({'humus originales'}),frozenset({'Bolsa de Plátanos Orgánicos'}),0.027,0.1397,0.0052,0.1925925925925926,1.3786155518438985,1.0,0.0014280999999999,1.0655091743119267,0.2822555142699027,0.0321981424148606,0.0614815675840899,0.1149076062461889,1
frozenset({'Uvas rojas sin semillas'}),frozenset({'Bolsa de Plátanos Orgánicos'}),0.0291,0.1397,0.005,0.1718213058419244,1.2299306073151353,1.0,0.0009347299999999,1.0387854771784233,0.1925491811721083,0.0305250305250305,0.0373373309798028,0.1038061432573974,1
frozenset({'arándanos'}),frozenset({'Banana'}),0.0217,0.1747,0.0066,0.304147465437788,1.7409700368505323,1.0,0.00280901,1.186027152317881,0.4350481199607234,0.0347734457323498,0.1568489827187544,0.1709632576187223,1
frozenset({'Pechugas De Pollo Deshuesadas Y Sin Piel'}),frozenset({'Banana'}),0.0191,0.1747,0.0079,0.4136125654450262,2.367559046622932,1.0,0.00456323,1.40743125,0.5888714962105327,0.0424959655728886,0.2894857208833469,0.2294164716177621,1
frozenset({'Corona de brócoli'}),frozenset({'Banana'}),0.0153,0.1747,0.0051,0.3333333333333333,1.9080328181644728,1.0,0.00242709,1.23795,0.483294404387123,0.0275824770146024,0.192212932670948,0.1812631177256249,1
frozenset({'Zanahorias'}),frozenset({'Banana'}),0.0248,0.1747,0.0059,0.2379032258064516,1.3617814871577083,1.0,0.0015674399999999,1.0829333333333333,0.272423909567442,0.0304752066115702,0.0765821226298941,0.1358377033439814,1
frozenset({'Kirby de pepino'}),frozenset({'Banana'}),0.032,0.1747,0.0123,0.384375,2.2002003434459074,1.0,0.0067096,1.3405888324873096,0.5635288584290802,0.0632716049382716,0.2540591300133285,0.2273907054951345,1
frozenset({'Coliflor Fresca'}),frozenset({'Banana'}),0.0277,0.1747,0.0053,0.1913357400722021,1.0952246140366466,1.0,0.00046081,1.020571875,0.0894222801798499,0.0268899036022323,0.0201572035286588,0.1108367309405086,1
frozenset({'Uva Blanca/Verde Sin Semillas'}),frozenset({'Banana'}),0.017,0.1747,0.0053,0.3117647058823529,1.7845718711067713,1.0,0.0023301,1.1991538461538462,0.4472446688036238,0.0284334763948497,0.1660786451985374,0.171051213845584,1
frozenset({'Mitad y mitad'}),frozenset({'Banana'}),0.0283,0.1747,0.007,0.2473498233215547,1.4158547413941316,1.0,0.00205599,1.096525352112676,0.302267013628545,0.0357142857142857,0.0880283815843387,0.1437092562515043,1
frozenset({'Manzana crujiente con miel'}),frozenset({'Banana'}),0.0285,0.1747,0.0096,0.3368421052631578,1.9281173741451507,1.0,0.0046210499999999,1.2445,0.4954805712815233,0.0495867768595041,0.1964644435516271,0.1958967252131473,1
frozenset({'Limón grande'}),frozenset({'Banana'}),0.0536,0.1747,0.0166,0.3097014925373134,1.7727618347871406,1.0,0.00723608,1.1955697297297296,0.460596400818829,0.0784128483703353,0.163578689612642,0.202360763440952,1
frozenset({'limas'}),frozenset({'Banana'}),0.0513,0.1747,0.0132,0.2573099415204678,1.4728674385831015,1.0,0.00423789,1.1112307086614173,0.3384128520367585,0.0620300751879699,0.1000968635895648,0.1664340205598904,1
frozenset({'Col rizada orgánica de Michigan'}),frozenset({'Banana'}),0.0243,0.1747,0.0068,0.279835390946502,1.6018053288294336,1.0,0.00255479,1.1459880000000002,0.3850614038789647,0.0353798126951092,0.1273905136877524,0.1593796302185286,1
frozenset({'Aguacate Orgánico'}),frozenset({'Banana'}),0.063,0.1747,0.0224,0.3555555555555555,2.0352350060421043,1.0,0.0113939,1.2806379310344829,0.5428561899679829,0.1040408732001857,0.219139168248583,0.241887680468104,1
frozenset({'Rúcula Bebé Orgánica'}),frozenset({'Banana'}),0.0271,0.1747,0.0053,0.1955719557195572,1.1194731294765723,1.0,0.00056563,1.0259463302752294,0.1096953864831267,0.026972010178117,0.0252901438501844,0.1129548387641861,1
frozenset({'Zanahorias pequeñas orgánicas'}),frozenset({'Banana'}),0.0235,0.1747,0.0065,0.2765957446808511,1.5832612746471155,1.0,0.0023945499999999,1.140855882352941,0.3772578675804482,0.0339071465832029,0.1234650971535818,0.1569011923175291,1
